City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp(Celsius)
178,ahmadpur sial,30.6754,71.7483,301.34,37,100,4.49,PK,1667719263,28.239999999999952
179,sabha,27.0377,14.4283,290.77,27,0,1.95,LY,1667719264,17.66999999999996
180,novikovo,51.1537,37.8879,275.22,76,22,2.0,RU,1667719264,2.1200000000000045
181,leningradskiy,69.3833,178.4167,262.06,86,41,6.02,RU,1667719264,-11.04000000000002
182,escarcega,18.6089,-90.7454,295.53,98,67,1.34,MX,1667719265,22.42999999999995
183,port alfred,-33.5906,26.891,294.36,79,4,1.79,ZA,1667719265,21.25999999999999
184,brzesko,49.9691,20.6061,282.49,93,100,1.6,PL,1667719266,9.389999999999986
185,vao,-22.6667,167.4833,297.41,86,24,7.8,NC,1667719266,24.310000000000002
186,kijang,35.2442,129.2139,291.0,34,4,2.42,KR,1667719267,17.899999999999977
187,longyearbyen,78.2186,15.6401,273.06,80,40,1.54,SJ,1667719155,-0.040000000000020464
188,la ronge,55.1001,-105.2842,267.29,73,100,6.69,CA,1667719267,-5.810000000000002
189,dunedin,-45.8742,170.5036,284.15,77,55,1.34,NZ,1667719060,11.049999999999955
190,tuatapere,-46.1333,167.6833,285.07,71,1,2.22,NZ,1667719268,11.96999999999997
191,laguna,38.421,-121.4238,288.74,90,100,4.12,US,1667719268,15.639999999999986
192,sarakhs,36.5449,61.1577,293.23,56,0,3.09,IR,1667719072,20.129999999999995
193,aykhal,66.0,111.5,253.49,100,90,0.37,RU,1667719268,-19.610000000000014
194,srandakan,-7.9386,110.2506,300.48,80,100,3.58,ID,1667719269,27.379999999999995
195,berlevag,70.8578,29.0864,278.15,87,100,6.17,NO,1667719269,5.0499999999999545
196,avera,33.194,-82.5271,294.47,95,97,6.08,US,1667719269,21.370000000000005
197,vaitape,-16.5167,-151.75,298.55,83,100,10.48,PF,1667719270,25.44999999999999
198,pangai,-19.8,-174.35,297.95,77,2,8.89,TO,1667719030,24.849999999999966
199,roald,62.5833,6.1333,282.46,93,75,1.03,NO,1667719270,9.359999999999957
200,bethel,41.3712,-73.414,292.61,85,75,4.12,US,1667719270,19.50999999999999
201,severnoye,56.3491,78.3619,271.87,93,100,6.92,RU,1667719271,-1.2300000000000182
202,ayagoz,47.9714,80.4392,281.01,79,100,4.26,KZ,1667719271,7.909999999999968
203,mount isa,-20.7333,139.5,304.02,33,75,7.2,AU,1667719271,30.91999999999996
204,kant,27.8,79.8,301.41,39,97,2.34,IN,1667719025,28.310000000000002
205,cherskiy,68.75,161.3,256.59,96,100,2.66,RU,1667719272,-16.510000000000048
206,aksu,41.1231,80.2644,286.56,26,100,0.52,CN,1667719273,13.45999999999998
207,rawson,-43.3002,-65.1023,293.86,41,37,10.04,AR,1667719273,20.75999999999999
208,nantucket,41.2835,-70.0995,291.23,94,0,6.69,US,1667719273,18.129999999999995
209,monaghan,54.25,-6.9667,281.7,96,67,4.61,IE,1667719023,8.599999999999966
210,ziniare,12.5822,-1.2983,296.17,31,26,3.43,BF,1667719274,23.069999999999993
211,hamilton,39.1834,-84.5333,291.5,76,100,4.12,US,1667719275,18.399999999999977
212,yumbo,3.5823,-76.4915,293.02,94,75,2.06,CO,1667719275,19.91999999999996
213,hovd,48.0056,91.6419,276.29,44,89,1.53,MN,1667719027,3.1899999999999977
214,zhigansk,66.7697,123.3711,244.38,98,31,2.91,RU,1667719275,-28.720000000000027
215,elat,29.5581,34.9482,294.06,64,1,3.09,IL,1667719276,20.95999999999998
216,zarate,-34.0981,-59.0286,288.61,80,6,2.24,AR,1667719276,15.509999999999991
217,shingu,33.7333,135.9833,289.91,62,100,1.19,JP,1667719277,16.810000000000002
218,santa rosa,14.3122,121.1114,304.32,72,86,5.32,PH,1667719181,31.21999999999997
219,kavieng,-2.5744,150.7967,302.12,69,100,2.4,PG,1667719277,29.019999999999982
220,sobolevo,54.4299,31.8996,273.52,75,100,5.88,RU,1667719277,0.4199999999999591
221,wanning,18.8003,110.3967,297.48,82,83,6.31,CN,1667719278,24.379999999999995
222,college,64.8569,-147.8028,256.98,84,40,2.06,US,1667719278,-16.120000000000005
223,nanortalik,60.1432,-45.2371,274.22,96,100,4.68,GL,1667719278,1.1200000000000045
224,atar,20.5169,-13.0499,294.72,14,49,3.42,MR,1667719279,21.620000000000005
225,belmonte,-15.8631,-38.8828,294.62,79,100,4.64,BR,1667719279,21.519999999999982
226,iquitos,-3.7481,-73.2472,295.17,94,0,0.0,PE,1667719279,22.069999999999993
227,pangnirtung,66.1451,-65.7125,259.92,90,19,4.11,CA,1667719280,-13.180000000000007
228,rabak,13.1809,32.74,304.93,18,20,7.57,SD,1667719028,31.829999999999984
229,lethem,3.3803,-59.7968,296.46,91,100,2.04,GY,1667719281,23.359999999999957
230,asau,46.4333,26.4,282.75,95,100,1.46,RO,1667719281,9.649999999999977
231,ambajogai,18.7333,76.3833,301.06,33,25,4.5,IN,1667719056,27.95999999999998
232,kabompo,-13.5927,24.2008,294.46,78,98,1.46,ZM,1667719282,21.359999999999957
233,inirida,3.8653,-67.9239,296.74,81,100,0.52,CO,1667719282,23.639999999999986
234,petropavlovsk-kamchatskiy,53.0452,158.6483,271.48,100,40,0.0,RU,1667719283,-1.6200000000000045
235,gizo,-8.103,156.8419,301.66,72,38,0.98,SB,1667719283,28.560000000000002
236,flagstaff,35.1981,-111.6513,277.1,74,0,0.45,US,1667719283,4.0
237,diffa,13.3154,12.6113,297.09,30,100,4.29,NE,1667719284,23.989999999999952
238,cidreira,-30.1811,-50.2056,289.44,79,20,4.31,BR,1667719284,16.339999999999975
239,biak,-0.9131,122.8766,301.79,71,58,2.23,ID,1667719285,28.689999999999998
240,yenagoa,4.9247,6.2642,299.19,86,99,0.92,NG,1667719285,26.089999999999975
241,port hedland,-20.3167,118.5667,304.18,23,98,9.77,AU,1667719286,31.079999999999984
242,isoka,-10.1606,32.6335,302.46,30,77,1.7,ZM,1667719286,29.359999999999957
243,belaya gora,68.5333,146.4167,255.94,97,100,4.11,RU,1667719287,-17.160000000000025
244,marawi,7.9986,124.2928,298.75,77,96,1.83,PH,1667719287,25.649999999999977
245,port elizabeth,-33.918,25.5701,298.76,73,40,3.09,ZA,1667719287,25.659999999999968
246,kharitonovo,61.4009,47.4978,271.07,85,42,2.75,RU,1667719289,-2.0300000000000296
247,meiganga,6.5167,14.3,295.33,46,100,1.71,CM,1667719036,22.22999999999996
248,dungarpur,23.8333,73.7167,305.23,20,96,1.64,IN,1667719289,32.129999999999995
249,caravelas,-17.7125,-39.2481,295.23,69,100,4.3,BR,1667719289,22.129999999999995
250,changji,44.0167,87.3167,284.59,50,95,3.0,CN,1667719290,11.489999999999952
251,dingle,10.9995,122.6711,301.98,79,81,4.68,PH,1667719290,28.879999999999995
252,san cristobal,7.7669,-72.225,291.29,97,100,0.73,VE,1667719290,18.189999999999998
253,kazerun,29.6195,51.6541,293.23,26,0,1.39,IR,1667719291,20.129999999999995
254,tabou,4.423,-7.3528,298.55,87,73,2.94,CI,1667719132,25.44999999999999
255,sept-iles,50.2001,-66.3821,281.51,93,100,7.2,CA,1667719292,8.409999999999968
256,ahipara,-35.1667,173.1667,288.23,84,63,1.41,NZ,1667719292,15.129999999999995
257,warangal,18.0,79.5833,301.22,46,85,2.07,IN,1667719293,28.120000000000005
258,shubarkuduk,49.1447,56.4872,273.34,78,95,3.29,KZ,1667719293,0.23999999999995225
259,lahan,26.7296,86.4951,301.42,47,5,1.84,NP,1667719293,28.319999999999993
260,turayf,31.6725,38.6637,293.29,45,40,9.26,SA,1667719294,20.189999999999998
261,half moon bay,37.4636,-122.4286,290.14,91,100,3.6,US,1667719294,17.039999999999964
262,yershov,51.3513,48.2766,275.49,75,100,3.33,RU,1667719294,2.3899999999999864
263,chernyshevskiy,63.0128,112.4714,263.66,90,100,1.94,RU,1667719295,-9.439999999999998
264,sur,22.5667,59.5289,304.62,38,2,0.82,OM,1667719295,31.519999999999982
265,jimo,36.3897,120.4622,289.03,44,0,7.0,CN,1667719296,15.92999999999995
266,blagoyevo,63.3667,47.9167,273.07,90,100,2.81,RU,1667719296,-0.03000000000002956
267,usevya,-7.1,31.2333,301.6,41,100,2.6,TZ,1667719296,28.5
268,itarema,-2.9248,-39.9167,299.14,82,100,4.66,BR,1667719297,26.039999999999964
269,puerto escondido,15.85,-97.0667,298.61,69,40,2.06,MX,1667719297,25.50999999999999
270,vincennes,48.85,2.4333,282.9,85,100,5.14,FR,1667719298,9.799999999999955
271,tura,25.5198,90.2201,299.5,60,6,1.97,IN,1667719145,26.399999999999977
272,port blair,11.6667,92.75,303.17,66,40,4.12,IN,1667719298,30.069999999999993
273,mandal,25.45,74.5667,304.79,18,100,0.79,IN,1667719061,31.689999999999998
274,saldanha,-33.0117,17.9442,292.0,74,0,2.82,ZA,1667719299,18.899999999999977
275,benghazi,32.1167,20.0667,294.64,58,13,9.09,LY,1667719299,21.539999999999964
276,pucallpa,-8.3791,-74.5539,296.31,58,93,0.56,PE,1667719299,23.20999999999998
277,aksarka,66.5606,67.7975,267.56,96,100,1.51,RU,1667719300,-5.5400000000000205
278,airai,-8.9266,125.4092,295.36,66,85,1.34,TL,1667719300,22.25999999999999
279,luancheng,37.8792,114.6517,285.24,36,27,1.86,CN,1667719300,12.139999999999986
280,bundaberg,-24.85,152.35,296.05,58,17,0.89,AU,1667719301,22.94999999999999
281,kulhudhuffushi,6.6221,73.07,300.38,69,96,0.44,MV,1667719301,27.279999999999973
282,samarai,-10.6167,150.6667,302.17,71,90,4.25,PG,1667719301,29.069999999999993
283,gat,31.61,34.7642,297.82,100,0,1.61,IL,1667719302,24.71999999999997
284,saint-pierre,-21.3393,55.4781,299.97,65,75,3.6,RE,1667719302,26.870000000000005
285,deputatskiy,69.3,139.9,253.28,94,100,4.25,RU,1667719302,-19.82000000000002
286,russell,32.3502,-85.1999,295.75,78,0,1.54,US,1667719303,22.649999999999977
287,pisco,-13.7,-76.2167,287.18,82,9,1.03,PE,1667719303,14.079999999999984
288,san isidro,-12.1167,-77.05,289.27,84,0,4.12,PE,1667719303,16.16999999999996
289,trofors,65.5333,13.4063,277.08,100,100,0.89,NO,1667719304,3.9799999999999613
290,narsaq,60.9167,-46.05,280.27,89,100,0.39,GL,1667719304,7.169999999999959
291,guozhen,34.3659,107.359,293.22,48,22,0.41,CN,1667719305,20.120000000000005
292,khyriv,49.5333,22.8524,280.17,97,100,1.42,UA,1667719305,7.069999999999993
293,klaksvik,62.2266,-6.589,278.66,82,100,5.75,FO,1667719305,5.560000000000002
294,qaqortoq,60.7167,-46.0333,272.53,93,100,0.85,GL,1667719306,-0.57000000000005
295,san quintin,30.4833,-115.95,289.21,75,1,2.86,MX,1667719306,16.109999999999957
296,dabat,12.9842,37.765,290.03,43,4,2.79,ET,1667719306,16.92999999999995
297,maniitsoq,65.4167,-52.9,268.99,62,38,3.38,GL,1667719307,-4.110000000000014
298,gravdal,68.1214,13.5031,279.75,90,100,3.77,NO,1667719307,6.649999999999977
299,gillette,44.2911,-105.5022,271.51,48,20,3.09,US,1667719307,-1.5900000000000318
300,virginia beach,36.8529,-75.978,292.6,93,75,2.06,US,1667719308,19.5
